GeneIdentifier	Number_mapped_reads
AT1G02350	16
AT1G02705	15
AT1G05005	3
AT1G05035	1
AT1G05136	0
AT1G06045	392
AT1G07902	25
AT1G09480	0
AT1G09900	139
AT1G10230	323
AT1G10747	0
AT1G11591	2
AT1G11690	0
AT1G11980	0
AT1G12130	0
AT1G12490	0
AT1G12663	0
AT1G13607	1
AT1G13608	8
AT1G13805	11
AT1G14642	7
AT1G15085	4
AT1G16025	27
AT1G16090	16
AT1G17065	111
AT1G17260	0
AT1G18193	0
AT1G18420	142
AT1G18486	0
AT1G19070	21
AT1G19620	0
AT1G20925	9
AT1G21313	253
AT1G21620	0
AT1G21835	0
AT1G23450	9
AT1G23500	2
AT1G24159	3
AT1G24256	0
AT1G24851	59
AT1G25025	59
AT1G25054	36
AT1G25112	59
AT1G25141	15
AT1G25145	36
AT1G25180	59
AT1G25210	36
AT1G26225	97
AT1G26500	22
AT1G26750	638
AT1G26890	0
AT1G27820	1
AT1G28005	0
AT1G28265	9
AT1G29041	13
AT1G29110	6
AT1G29180	13
AT1G29780	23
AT1G29830	1
AT1G30010	6
AT1G30455	4
AT1G31243	12
AT1G32480	0
AT1G33670	0
AT1G33910	0
AT1G34049	0
AT1G34317	38
AT1G36150	0
AT1G43010	2
AT1G47813	0
AT1G47915	0
AT1G48820	2
AT1G49120	0
AT1G51530	0
AT1G52650	1
AT1G52940	2
AT1G52950	0
AT1G53542	61
AT1G53990	13
AT1G54310	2
AT1G55175	5
AT1G55673	35185
AT1G55945	16
AT1G56105	0
AT1G56160	3
AT1G57850	0
AT1G57906	23
AT1G58150	46
AT1G58160	32
AT1G58223	113
AT1G60530	142
AT1G61230	1
AT1G61280	69
AT1G61415	1
AT1G61600	37
AT1G62440	23
AT1G62515	1417
AT1G62886	1
AT1G62920	20
AT1G63280	3
AT1G63730	4
AT1G64253	5
AT1G64310	2
AT1G64455	139
AT1G64584	3
AT1G64710	20
AT1G64795	65
AT1G64820	3
AT1G64940	1
AT1G66345	31
AT1G68725	23
AT1G68845	6
AT1G68937	14
AT1G69200	46
AT1G69470	4
AT1G70450	0
AT1G70475	204
AT1G71180	32
AT1G71220	0
AT1G71740	257
AT1G73066	14
AT1G73570	9
AT1G73710	12
AT1G73885	2550
AT1G74035	740
AT1G74290	18
AT1G74620	0
AT1G74900	1
AT1G76465	42
AT1G77010	1
AT1G77440	3
AT1G79485	0
AT1G80090	1
AT1G80320	51
AT1G80525	0
AT2G01008	3
AT2G01021	99871
AT2G01379	0
AT2G01920	0
AT2G03230	9
AT2G03822	2
AT2G04038	0
AT2G04380	595
AT2G04621	4
AT2G04840	0
AT2G05060	0
AT2G05180	3
AT2G07655	19
AT2G07749	0
AT2G07674	9
AT2G07751	51
AT2G07675	119
AT2G07676	5
AT2G07768	0
AT2G07623	0
AT2G07678	4
AT2G07631	0
AT2G07689	2
AT2G07701	4
AT2G07638	0
AT2G07705	1
AT2G07707	55
AT2G07642	7
AT2G07713	0
AT2G07722	2
AT2G07728	0
AT2G07659	2
AT2G07741	25
AT2G11035	85
AT2G11215	6
AT2G11225	63
AT2G11891	38
AT2G13422	2
AT2G13555	22
AT2G14800	8
AT2G14920	5
AT2G16575	26
AT2G16953	0
AT2G17845	0
AT2G18320	0
AT2G18721	0
AT2G19150	0
AT2G20350	7
AT2G20873	13
AT2G20970	0
AT2G21810	0
AT2G22088	64
AT2G23321	22
AT2G24480	6
AT2G25055	8
AT2G25125	0
AT2G28220	2
AT2G29640	82
AT2G31035	4
AT2G33050	62
AT2G34240	0
AT2G34360	8
AT2G35640	165
AT2G35850	119
AT2G35970	0
AT2G36026	27
AT2G36370	13
AT2G36540	10
AT2G36815	2
AT2G36854	26
AT2G37140	0
AT2G37910	0
AT2G38350	0
AT2G38720	7
AT2G38800	371
AT2G38830	18
AT2G39520	146
AT2G40720	3
AT2G40980	2
AT2G41080	32
AT2G41082	35
AT2G41375	99
AT2G42270	1
AT2G42370	21
AT2G43530	20
AT2G43550	26
AT2G44735	118
AT2G46050	4
AT2G46810	0
AT2G47720	22
AT2G47935	446
AT3G01475	83
AT3G01990	1
AT3G02255	117
AT3G03340	6
AT3G04250	0
AT3G04410	1
AT3G05746	0
AT3G06085	15
AT3G06436	3
AT3G06990	11
AT3G09020	47
AT3G09863	5
AT3G10527	412
AT3G11390	2
AT3G11460	10
AT3G12190	2
AT3G13075	131
AT3G13276	11
AT3G13662	2
AT3G13882	0
AT3G14452	58
AT3G14463	4
AT3G14467	2
AT3G14981	0
AT3G15111	0
AT3G15578	3
AT3G15635	1044
AT3G15930	9
AT3G16432	0
AT3G17717	117
AT3G18915	91
AT3G20860	50
AT3G21405	90
AT3G21470	3
AT3G21473	1
AT3G22183	294
AT3G22935	0
AT3G23260	27
AT3G24330	0
AT3G24575	16
AT3G24929	11
AT3G25012	11
AT3G25221	3
AT3G25550	1
AT3G26040	6
AT3G26512	1
AT3G26620	3
AT3G27690	1
AT3G27980	3
AT3G28291	0
AT3G28310	5
AT3G28335	1
AT3G28620	17
AT3G28875	5
AT3G42660	48
AT3G43400	0
AT3G43840	9
AT3G44490	84
AT3G44713	11
AT3G44800	6
AT3G44830	0
AT3G44900	1
AT3G44950	9
AT3G46613	3
AT3G47100	7
AT3G47150	1
AT3G48187	0
AT3G48400	3
AT3G48660	120
AT3G48675	0
AT3G49130	0
AT3G49510	17
AT3G49520	0
AT3G49710	32
AT3G51070	30
AT3G53611	0
AT3G56500	6
AT3G57587	0
AT3G57700	60
AT3G57770	13
AT3G57787	445
AT3G57970	383
AT3G59150	35
AT3G60590	0
AT3G61810	18
AT3G62030	2
AT3G62500	24
AT3G62695	66
AT3G63095	3
AT3G63215	367
AT4G00883	430
AT4G00889	4
AT4G01340	0
AT4G01535	4
AT4G01740	47
AT4G01895	51
AT4G02090	83
AT4G02180	1
AT4G03443	3
AT4G03940	0
AT4G04200	13
AT4G04423	1
AT4G04680	0
AT4G05091	4
AT4G05097	3
AT4G07455	41
AT4G08250	12
AT4G08545	0
AT4G09320	2
AT4G09435	10
AT4G09731	15
AT4G10230	0
AT4G11250	1
AT4G11590	0
AT4G11930	0
AT4G12495	999
AT4G12680	6
AT4G12950	1
AT4G13570	4
AT4G13572	59
AT4G14180	1
AT4G14225	1
AT4G14358	11
AT4G14590	16
AT4G14675	0
AT4G14940	1
AT4G15236	0
AT4G16200	0
AT4G16220	18
AT4G16270	85
AT4G16400	24
AT4G18596	0
AT4G19090	0
AT4G19191	20
AT4G20707	0
AT4G20840	23
AT4G20940	11
AT4G20990	1
AT4G21060	8
AT4G21063	7
AT4G21366	2
AT4G21515	38
AT4G21700	25
AT4G22463	14
AT4G22520	378
AT4G23015	1168
AT4G23940	51
AT4G23960	3
AT4G24231	0
AT4G25330	0
AT4G25515	10
AT4G25980	10
AT4G26145	20
AT4G26680	9
AT4G28350	7
AT4G28755	24
AT4G28870	2
AT4G28930	5
AT4G29370	0
AT4G31380	2
AT4G31440	17
AT4G31441	105
AT4G31740	2
AT4G31850	19
AT4G32990	0
AT4G33310	196
AT4G34080	26
AT4G34139	4
AT4G34210	21
AT4G35120	0
AT4G35295	18
AT4G35485	100
AT4G36170	0
AT4G36795	31
AT4G37022	10
AT4G37230	32
AT4G37685	6
AT4G38775	810
AT4G39020	2
AT4G39620	36
AT4G40063	95
AT5G01017	131
AT5G01860	0
AT5G01881	41
AT5G03000	1
AT5G03553	317
AT5G04475	319
AT5G05285	0
AT5G05380	2
AT5G05675	241
AT5G05735	845
AT5G06500	0
AT5G06645	51
AT5G06810	43
AT5G06890	3
AT5G07480	0
AT5G07580	408
AT5G07610	111
AT5G10000	0
AT5G10040	57
AT5G10340	5
AT5G10880	0
AT5G10970	14
AT5G11100	13
AT5G11975	607
AT5G12236	0
AT5G13295	41
AT5G14560	38
AT5G14980	0
AT5G15560	0
AT5G15581	54
AT5G15745	28
AT5G16860	5
AT5G17305	10
AT5G17345	18
AT5G17847	2
AT5G18300	11
AT5G18404	7
AT5G18933	0
AT5G19595	20
AT5G21050	24
AT5G22145	89
AT5G22240	17
AT5G22785	3
AT5G22794	1
AT5G22799	8
AT5G23411	444
AT5G24215	2
AT5G24930	846
AT5G25750	32
AT5G25910	8
AT5G25995	17
AT5G26290	0
AT5G26955	1
AT5G27070	0
AT5G27300	30
AT5G27370	1
AT5G27493	100
AT5G27889	17
AT5G27890	22
AT5G27893	7
AT5G28320	10
AT5G28340	0
AT5G28463	2
AT5G30360	0
AT5G35737	0
AT5G35760	1
AT5G35920	0
AT5G35926	0
AT5G37420	1
AT5G37793	8
AT5G38680	0
AT5G38743	0
AT5G38747	0
AT5G38750	1
AT5G39024	2
AT5G40070	0
AT5G40153	108
AT5G40400	0
AT5G41025	123
AT5G41030	0
AT5G41071	7
AT5G41860	3
AT5G42965	23
AT5G43064	3
AT5G43155	94
AT5G43160	20
AT5G43550	1
AT5G43640	0
AT5G43820	75
AT5G44063	12
AT5G44065	64
AT5G44270	1
AT5G44590	0
AT5G45060	11
AT5G45120	0
AT5G45210	0
AT5G46090	49
AT5G49150	1
AT5G50140	0
AT5G51360	0
AT5G51585	21
AT5G51915	33
AT5G52080	0
AT5G52640	490
AT5G53740	0
AT5G54035	5
AT5G54043	36
AT5G55508	0
AT5G55820	0
AT5G55830	10
AT5G56555	0
AT5G56985	374
AT5G57569	0
AT5G57820	3
AT5G58450	2
AT5G59650	1
AT5G59860	22
AT5G60110	0
AT5G60215	0
AT5G60240	4
AT5G60265	0
AT5G60310	4
AT5G60830	3
AT5G61180	1
AT5G61400	8
AT5G61940	0
AT5G62065	0
AT5G62160	1
AT5G62780	6
AT5G62970	1
AT5G63340	76
AT5G63375	220
AT5G63820	14
AT5G63980	231
AT5G65274	0
AT5G65330	2
AT5G65580	34
AT5G65610	1
AT5G65710	91
AT5G66335	41
AT5G66631	8
AT5G66930	2
