GeneIdentifier	Start_exon_1	Read_QNAME	Read_START
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2212:3431:41238	3650
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1110:14020:88186	3704
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1215:20995:83114	3721
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2213:21034:98961	3721
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2105:14348:96530	3721
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1216:15385:42395	3721
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2206:7232:65533	3721
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2105:10514:93079	3774
AT1G01060	37871	MISEQ:81:000000000-A0RAN:1:1101:9892:18584	3780
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2202:18006:32287	3789
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1103:1612:24903	3789
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1116:12112:17013	3789
AT1G01060	37871	MISEQ:81:000000000-A0RAN:1:1104:19776:15358	3792
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2208:10610:87086	3793
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2207:17880:75930	3793
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1111:2786:87294	3817
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1207:1720:57894	3846
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1209:4028:42218	3846
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2208:2168:39070	3846
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1111:1729:98209	3847
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1111:9363:7666	3849
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1215:6683:53456	3849
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2105:4404:35092	3849
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2205:12227:41030	3850
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1212:3319:31236	3851
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1203:19993:100551	3851
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2113:10908:46386	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2110:3607:9520	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2109:15809:69306	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1114:3834:4275	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2105:15140:66925	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2202:6068:99590	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1102:19694:77026	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1107:14257:8296	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2107:16367:20606	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1212:20429:11931	3852
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1113:20329:17418	3853
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2103:19166:33660	3853
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1202:10994:88265	3853
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1103:9334:74691	3853
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1211:3492:40999	3854
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2114:19404:7706	3859
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1201:15574:13580	3863
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1114:10043:3549	3863
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2211:1582:52789	3863
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2101:16908:26683	3863
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2207:10825:78622	3865
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1216:7225:38945	3865
