GeneIdentifier	Start	Strand
AT1G01010	3631	+
AT1G01020	9130	-
AT1G01030	13714	-
AT1G01040	23121	+
AT1G01050	33171	-
AT1G01060	37871	-
AT1G01070	41017	-
AT1G01080	47059	-
AT1G01090	49304	-
AT1G01100	51210	-
AT1G01110	51953	+
AT1G01120	59215	-
AT1G01130	63811	-
AT1G01140	67774	-
AT1G01150	72138	-
AT1G01160	72339	+
AT1G01170	74737	-
AT1G01180	75390	+
AT1G01190	84946	-
AT1G01200	88409	-
AT1G01210	88622	+
AT1G01220	91342	+
AT1G01225	95935	+
AT1G01230	97412	+
AT1G01240	99865	+
AT1G01250	105330	-
AT1G01260	108946	+
AT1G01270	111961	-
AT1G01280	112263	+
AT1G01290	114202	+
AT1G01300	116784	+
AT1G01305	119381	+
AT1G01310	120154	+
AT1G01320	130577	-
AT1G01335	130736	+
AT1G01340	135924	-
AT1G01350	136090	+
AT1G01355	138489	+
AT1G01360	141870	+
AT1G01370	143489	+
AT1G01380	147043	+
AT1G01390	149806	-
AT1G01400	152210	-
AT1G01410	153113	+
AT1G01420	156011	-
AT1G01430	158823	-
AT1G01440	162953	-
AT1G01448	163278	+
AT1G01450	165517	-
AT1G01453	168088	-
AT1G01460	168559	+
AT1G01470	172948	-
AT1G01480	175706	+
AT1G01490	182749	-
AT1G01500	185033	+
AT1G01510	187145	+
AT1G01520	190408	+
AT1G01530	193670	-
AT1G01540	195645	+
AT1G01550	199527	+
AT1G01560	202103	+
AT1G01570	204935	+
AT1G01580	208995	+
AT1G01590	214150	+
AT1G01600	218834	+
AT1G01610	224351	-
AT1G01620	227302	-
AT1G01630	228799	+
AT1G01640	232630	-
AT1G01650	237905	-
AT1G01660	242703	-
AT1G01670	246054	-
AT1G01680	248440	-
AT1G01690	249041	+
AT1G01695	252626	+
AT1G01700	261667	-
AT1G01710	262828	+
AT1G01715	266333	+
AT1G01720	267993	+
AT1G01725	270859	-
AT1G01730	270797	+
AT1G01740	274930	-
AT1G01750	275188	+
AT1G01760	278599	-
AT1G01770	278600	+
AT1G01780	282761	+
AT1G01790	284350	+
AT1G01800	293246	+
AT1G01810	295207	+
AT1G01820	298334	-
AT1G01830	302310	-
AT1G01840	303537	+
AT1G01860	306310	-
