GeneIdentifier	Chromosome	Start	Stop	Strand
AT1G01130	Chr1	63811	63557	-
AT1G01335	Chr1	130736	130858	+
AT1G01410	Chr1	153113	154198	+
AT1G01450	Chr1	165517	164105	-
AT1G02040	Chr1	359078	357906	-
AT1G02067	Chr1	367166	366945	-
AT1G02080	Chr1	373335	373405	+
AT1G02210	Chr1	427811	427548	-
AT1G02250	Chr1	439559	439406	-
AT1G02320	Chr1	461828	461974	+
AT1G02350	Chr1	469818	469971	+
AT1G02540	Chr1	535699	534827	-
AT1G02550	Chr1	536483	537211	+
AT1G02590	Chr1	552761	552687	-
AT1G02620	Chr1	557092	557108	+
AT1G02705	Chr1	589584	590003	+
AT1G02710	Chr1	589996	589706	-
AT1G02830	Chr1	625608	625373	-
AT1G02965	Chr1	672814	672651	-
AT1G03300	Chr1	813086	812030	-
AT1G03325	Chr1	817178	817053	-
AT1G03390	Chr1	842418	841033	-
AT1G03490	Chr1	871874	872212	+
AT1G03670	Chr1	916222	915538	-
AT1G03720	Chr1	926373	926160	-
AT1G03810	Chr1	958759	959008	+
AT1G04105	Chr1	1060348	1060283	-
AT1G04455	Chr1	1210269	1210622	+
AT1G04625	Chr1	1289820	1289694	-
AT1G04895	Chr1	1383422	1383258	-
AT1G05005	Chr1	1429048	1429261	+
AT1G05035	Chr1	1444983	1445224	+
AT1G05080	Chr1	1459091	1459978	+
AT1G05085	Chr1	1460988	1461125	+
AT1G05136	Chr1	1478923	1479063	+
AT1G05615	Chr1	1678270	1678116	-
AT1G05800	Chr1	1741204	1742619	+
AT1G05930	Chr1	1799418	1800289	+
AT1G06045	Chr1	1829522	1829688	+
AT1G06925	Chr1	2128611	2128580	-
AT1G07025	Chr1	2158158	2157658	-
AT1G07060	Chr1	2168397	2168258	-
AT1G07190	Chr1	2208013	2208177	+
AT1G07500	Chr1	2305031	2304766	-
AT1G07600	Chr1	2339321	2339266	-
AT1G07730	Chr1	2398696	2397527	-
AT1G07747	Chr1	2403558	2403845	+
AT1G07860	Chr1	2429431	2429266	-
AT1G07901	Chr1	2444123	2443971	-
AT1G07902	Chr1	2443918	2444010	+
AT1G08300	Chr1	2614774	2614904	+
AT1G08645	Chr1	2752595	2752251	-
AT1G08790	Chr1	2811989	2812478	+
AT1G08845	Chr1	2838789	2838815	+
AT1G09220	Chr1	2979466	2977792	-
AT1G09360	Chr1	3021802	3022368	+
AT1G09480	Chr1	3057975	3058092	+
AT1G09625	Chr1	3117567	3117137	-
AT1G09720	Chr1	3147303	3147210	-
AT1G09900	Chr1	3218133	3219929	+
AT1G09935	Chr1	3235530	3235480	-
AT1G10100	Chr1	3301489	3301328	-
AT1G10155	Chr1	3328448	3328386	-
AT1G10230	Chr1	3355675	3356151	+
AT1G10395	Chr1	3412474	3412532	+
AT1G10455	Chr1	3438555	3439013	+
AT1G10715	Chr1	3561149	3561209	+
AT1G10717	Chr1	3562180	3562243	+
AT1G10747	Chr1	3574312	3574375	+
AT1G11060	Chr1	3684568	3685193	+
AT1G11145	Chr1	3728166	3728116	-
AT1G11340	Chr1	3817420	3815941	-
AT1G11520	Chr1	3873029	3873619	+
AT1G11591	Chr1	3895130	3895268	+
AT1G11593	Chr1	3898002	3898609	+
AT1G11620	Chr1	3910833	3911924	+
AT1G11690	Chr1	3941469	3942212	+
AT1G11770	Chr1	3975679	3977379	+
AT1G11810	Chr1	3989763	3991066	+
AT1G11970	Chr1	4044370	4044669	+
AT1G11980	Chr1	4045619	4045855	+
AT1G12100	Chr1	4095246	4095273	+
AT1G12130	Chr1	4118594	4119146	+
AT1G12170	Chr1	4129701	4128607	-
AT1G12190	Chr1	4134094	4132967	-
AT1G12211	Chr1	4144114	4143586	-
AT1G12340	Chr1	4197396	4197443	+
AT1G12411	Chr1	4225482	4225321	-
AT1G12490	Chr1	4260783	4260937	+
AT1G12615	Chr1	4294540	4294055	-
AT1G12660	Chr1	4308943	4309243	+
AT1G12663	Chr1	4310969	4311254	+
AT1G12870	Chr1	4389110	4387968	-
AT1G12960	Chr1	4423155	4423047	-
AT1G13200	Chr1	4508528	4507221	-
AT1G13485	Chr1	4624344	4624171	-
AT1G13500	Chr1	4629169	4628956	-
AT1G13530	Chr1	4635129	4634922	-
AT1G13607	Chr1	4660778	4660838	+
AT1G13608	Chr1	4661682	4661726	+
AT1G13805	Chr1	4730987	4731055	+
AT1G14048	Chr1	4815988	4815683	-
AT1G14100	Chr1	4827961	4828066	+
AT1G14110	Chr1	4830297	4830405	+
AT1G14315	Chr1	4887933	4887539	-
AT1G14642	Chr1	5026364	5026405	+
AT1G14688	Chr1	5050983	5050944	-
